id_svsa_50k,nome,mae,sexo,dt_nasc,cod_munic_res
145,GUSTAVO NASCIMENTO SILVEIRA,AYLA SAMPAIO SILVEIRA,1,1978-01-24,431780
146,BELLA APARECIDA LOPES,ELISA VASCONCELOS LOPES,2,2009-09-04,520929
147,CECILIA DA LUZ ALVES FERREIRA,MARIAH VIANA FERREIRA,2,1975-09-19,430410
148,MATEUS NOVAES MACHADO,ISABELLA ALBUQUERQUE MACHADO,1,1989-04-24,412217
149,ARTHUR FARIAS SOUSA,ISIS TEIXEIRA SOUSA,1,1988-09-01,314710
150,JOAQUIM MENDES VARGAS,YASMIN MENDES VARGAS,1,2022-07-23,421170
151,SABRINA MONTEIRO DA CRUZ,AURORA CASSIANO DA CRUZ,2,1994-01-21,312750
152,LUCCA CUNHA PEIXOTO,VITORIA SANTOS PEIXOTO,1,1985-05-29,160060
153,OLIVIA ALMEIDA GONCALVES,MARIA ALICE DA MATA RODRIGUES GONCALVES,2,1986-07-16,510665
154,MANUELA NOGUEIRA CAMPOS,VALENTINA BRITO CAMPOS,2,2020-08-02,522010
155,DANTE BARBOSA OLIVEIRA,MARIA FLOR CORREIA OLIVEIRA,1,1994-11-10,420450
156,RENAN SAMPAIO VIEIRA,AYLA MELO VIEIRA,1,2022-04-25,420600
157,LEVI APARECIDA FERNANDES,MARIAH MENDES FERNANDES,1,2008-11-08,231085
158,MARIA VITORIA GOMES PEREIRA,MARIA LUIZA MOURA PEREIRA,2,1974-04-13,316500
159,RAVY NASCIMENTO DA MOTA,AGATHA FONSECA DA MOTA,1,1978-12-17,230015
160,AGATHA CUNHA CASA GRANDE,STEPHANY SOUSA CASA GRANDE,2,2001-08-12,320090
161,ASAFE LEAO DA CUNHA,ANA MACHADO DA CUNHA,1,2007-12-27,352200
162,RAUL MARQUES SAMPAIO,MARIA LIZ MELO SAMPAIO,1,1995-03-06,220213
163,EMANUEL CAMPOS CAMPOS,ANNA LIZ CASTRO CAMPOS,1,1998-04-12,412135
164,RAFAEL CUNHA LOPES,NINA VASCONCELOS LOPES,1,1971-04-29,431740
165,BIANCA CAMARA NASCIMENTO,ALICIA MACHADO NASCIMENTO,2,2011-12-05,320350
166,LUNA MONTENEGRO FERNANDES,ANA LAURA CIRINO FERNANDES,2,2010-04-29,251500
167,NICOLAS VASCONCELOS MONTEIRO,STELLA GUERRA MONTEIRO,1,1986-01-23,210750
168,LUNNA COSTELA CALDEIRA,GABRIELLY ALMEIDA CALDEIRA,2,2006-10-16,291230
169,BENICIO ALBUQUERQUE NASCIMENTO,ANA BEATRIZ ALMEIDA NASCIMENTO,1,1979-06-07,240340
170,KAIQUE NOVAES SA,ANA SOPHIA ROCHA SA,1,1987-01-13,220095
171,ZOE NASCIMENTO LEAO,LARISSA DIAS LEAO,2,1973-10-23,430064
172,THOMAS FOGACA SOUSA,ISIS CAMPOS SOUSA,1,2015-06-11,230240
173,MARIA CECILIA MONTENEGRO CASTRO,MANUELA NOGUEIRA CASTRO,2,1999-01-19,315030
174,MARIA JULIA DA CRUZ DA MATA SOUSA,GIOVANNA DA ROCHA CASSIANO SOUSA,2,2022-08-13,230240
175,LUNA MONTEIRO RIOS,AURORA LIMA RIOS,2,1987-01-26,520860
176,FERNANDO NOVAIS ARAGAO,MARIA LUISA SOUZA ARAGAO,1,2016-08-10,240600
177,ANA BEATRIZ FONSECA FOGACA,ISIS FONSECA FOGACA,2,2010-03-13,431350
178,LORENA OLIVEIRA PIRES,MANUELA MORAES PIRES,2,2017-03-02,251610
179,OLIVIA GOMES ARAUJO,VALENTINA MELO ARAUJO,2,2009-10-17,430435
180,AGATHA CAMARA FERNANDES,HELENA SILVA FERNANDES,2,1995-11-01,221039
181,MELINA GONCALVES GUERRA,LIZ COSTA GUERRA,2,2018-06-22,431800
182,ANA BEATRIZ ALMEIDA DA CRUZ,ELOAH DAS NEVES CARDOSO DA CRUZ,2,1985-05-02,432200
183,BRENDA CASSIANO DA CUNHA,MANUELLA DA MATA CASTRO DA CUNHA,2,1995-05-03,411965
184,LEVI CARVALHO MONTENEGRO,ANA LAURA CIRINO MONTENEGRO,1,2010-11-11,310060
185,DAVI LUCAS MACHADO ABREU,LUNNA PINTO ABREU,1,1974-03-31,250320
186,JOAO RIOS SANTOS,CAMILA JESUS SANTOS,1,1988-09-09,430130
187,MARIA LUISA SA ANDRADE,STEPHANY LOPES ANDRADE,2,1975-12-05,240895
188,ANA SOPHIA RIBEIRO CIRINO,RAQUEL REZENDE CIRINO,2,2017-06-28,431265
189,ARTHUR GABRIEL CAMARA JESUS,ZOE DA ROCHA VIANA JESUS,1,1974-09-28,351020
190,DIEGO CAMPOS REZENDE,EMANUELLY CAVALCANTI REZENDE,1,1971-05-08,230580
191,MARIA SOPHIA DIAS MORAES,VALENTINA CAMPOS MORAES,2,1998-10-10,430100
192,SARA FONSECA ARAUJO,RAFAELA PORTO ARAUJO,2,1977-06-01,230220
193,VITOR GABRIEL FARIAS CAMPOS,ALANA PIRES CAMPOS,1,2017-04-23,431750
194,JOAO GUILHERME ALVES GOMES,MANUELLA SOUSA GOMES,1,2002-12-31,291710
195,LORENA ANDRADE ARAGAO,CLARICE CARDOSO ARAGAO,2,1998-06-14,250435
196,ELOAH DA CRUZ TEIXEIRA TEIXEIRA,GABRIELLY JESUS TEIXEIRA,2,1984-04-23,260870
197,MILENA MARTINS CAMARA,ISABELA MENDES CAMARA,2,1985-06-15,290740
198,BRUNA REZENDE FONSECA,ANA LIZ CAVALCANTE FONSECA,2,1970-11-05,311300
199,MARIANE REZENDE LEAO,ANA CLARA SILVA LEAO,2,1994-07-11,311750
200,THOMAS APARECIDA PINTO,LIVIA FREITAS PINTO,1,2023-09-26,330540
201,GAEL DIAS SILVA,LUNA JESUS SILVA,1,1983-08-02,231050
202,DANIEL RODRIGUES SAMPAIO,MARIA VITORIA COSTELA SAMPAIO,1,1989-09-02,350775
203,OLIVIA NOVAES PIMENTA,HADASSA FONSECA PIMENTA,2,2015-03-31,150770
204,DIEGO PASTOR GOMES,MANUELA DA MATA CAMPOS GOMES,1,1974-04-25,310300
205,ISIS CAMARA DA CUNHA,BARBARA AZEVEDO DA CUNHA,2,1979-01-29,521370
206,NINA APARECIDA CARVALHO,LAURA ARAGAO CARVALHO,2,1981-11-07,231390
207,DANIELA APARECIDA PORTO,LIVIA VARGAS PORTO,2,2004-07-28,220770
208,THIAGO MORAES CAMARGO,OLIVIA FREITAS CAMARGO,1,2017-03-18,431213
209,MURILO GOMES CAMARA,LUISA DIAS CAMARA,1,2008-07-23,432225
210,ENRICO CASA GRANDE PASTOR,LETICIA MENDONCA PASTOR,1,2019-08-20,353830
211,MELISSA RIBEIRO PIMENTA,MARIA EDUARDA GUERRA PIMENTA,2,1987-05-06,292575
212,CECILIA NOGUEIRA DA PAZ,LAVINIA SILVA DA PAZ,2,2008-11-19,521990
213,LUCCA DA LUZ PASTOR SANTOS,AYLLA MORAES SANTOS,1,2008-12-10,352490
214,SABRINA NASCIMENTO SA,ELOAH FREITAS SA,2,1994-10-09,130190
215,GUILHERME CASSIANO SOUSA,ANA SOPHIA SILVEIRA SOUSA,1,1990-10-27,320120
216,VITORIA NOVAES CAVALCANTE,LUANA ANDRADE CAVALCANTE,2,2018-08-20,352540
217,LIVIA DA CRUZ PASTOR MONTEIRO,JULIANA MELO MONTEIRO,2,1986-04-02,420360
218,ANA VARGAS CAMARGO,MAYA OLIVEIRA CAMARGO,2,2013-10-25,431020
219,LETICIA FONSECA COSTELA,BARBARA CALDEIRA COSTELA,2,2003-08-09,311420
220,FERNANDA CAMARA SIQUEIRA,JULIANA AZEVEDO SIQUEIRA,2,1983-02-04,410754
221,RAVI LUCCA ABREU DIAS,SOFIA MACHADO DIAS,1,1991-06-23,431370
222,HADASSA GONCALVES CAMPOS,MELISSA CAMPOS CAMPOS,2,1991-10-21,500260
223,BENJAMIM AZEVEDO DIAS,STELLA OLIVEIRA DIAS,1,1993-12-20,315200
224,EDUARDA CIRINO DA CUNHA,HELENA MENDES DA CUNHA,2,2002-06-13,261120
225,ISAQUE CASA GRANDE MONTEIRO,KAMILLY MONTENEGRO MONTEIRO,1,2018-02-12,411950
226,SARAH MONTENEGRO LEAO,AYLLA SAMPAIO LEAO,2,2017-06-02,330190
227,CAROLINE COSTELA ARAGAO,OLIVIA JESUS ARAGAO,2,1979-01-29,290100
228,PAULO GOMES DA MOTA,SOPHIE CALDEIRA DA MOTA,1,2022-03-09,430655
229,MARIA LUIZA CAMPOS PIMENTA,ANA CLARA DA PAZ LEAO PIMENTA,2,2003-05-06,290540
230,LUNA DA PAZ SANTOS NOVAIS,CAROLINA MOREIRA NOVAIS,2,2014-08-23,110120
231,NATALIA PASTOR AZEVEDO,MAYA CORREIA AZEVEDO,2,2018-01-05,431880
232,JULIANA DA CUNHA CARVALHO ANDRADE,ISABELLA MONTEIRO ANDRADE,2,2022-10-02,500627
233,MARIA CLARA DA ROSA MACEDO BRITO,ANA DA COSTA DA LUZ BRITO,2,1997-03-06,240980
234,DAVI CASSIANO DAS NEVES,ANA JULIA CUNHA DAS NEVES,1,2003-04-06,410750
235,MARIA ISIS SILVA DAS NEVES,PIETRA BARROS DAS NEVES,2,1977-07-26,251690
236,GABRIELA MOURA REZENDE,EMANUELLY CASSIANO REZENDE,2,2001-02-25,411095
237,STEPHANY SANTOS MACEDO,LARA DAS NEVES FREITAS MACEDO,2,1988-05-20,292310
238,BENICIO DA ROSA COSTELA COSTA,SOPHIA SANTOS COSTA,1,1994-07-03,420500
239,LUCAS PIRES ROCHA,NATALIA MONTENEGRO ROCHA,1,2002-06-22,290050
240,FERNANDO VIEIRA APARECIDA,ESTER RODRIGUES APARECIDA,1,1982-03-31,314940
241,ALLANA PACHECO RODRIGUES,BRENDA LIMA RODRIGUES,2,1979-09-22,320030
242,RHAVI DA COSTA RAMOS FREITAS,EDUARDA BORGES FREITAS,1,2017-05-29,351280
243,SARAH DUARTE MARQUES,NATALIA TEIXEIRA MARQUES,2,2012-12-20,352050
244,LEO FREITAS GOMES,LIZ DA ROSA LEAO GOMES,1,1987-12-20,315920
245,DIOGO DA LUZ PACHECO COSTA,HELOISA VIEIRA COSTA,1,1998-02-18,292640
246,CECILIA CASSIANO PIRES,ALEXIA VIANA PIRES,2,2006-02-17,500797
247,CALEB PORTO LEAO,BEATRIZ DA CONCEICAO BORGES LEAO,1,1977-03-04,221062
248,MARINA CARDOSO CAVALCANTE,MARIANA GOMES CAVALCANTE,2,2002-02-09,330260
249,RODRIGO MENDES GOMES,MARIANE SILVEIRA GOMES,1,2024-01-19,353050
250,LAVINIA FOGACA CASTRO,EMANUELLY BARROS CASTRO,2,2011-08-05,314055
251,VALENTIM DA CONCEICAO PEREIRA SILVA,BRUNA COSTELA SILVA,1,2010-03-18,316110
252,JULIANA DIAS LIMA,MAYSA MORAES LIMA,2,2005-09-13,231210
253,LUCCA SAMPAIO PACHECO,REBECA CASA GRANDE PACHECO,1,1985-04-27,250110
254,THEO DA LUZ CUNHA DIAS,ANA CAROLINA CALDEIRA DIAS,1,1972-01-01,231123
255,SOFIA CAMARGO SIQUEIRA,MARIA JULIA DUARTE SIQUEIRA,2,2015-03-16,431890
256,JOAO PINTO DA CUNHA,AGATHA MONTEIRO DA CUNHA,1,2020-03-16,250400
257,LEO RIOS ANDRADE,AYLA FREITAS ANDRADE,1,2003-07-11,311650
258,ISABELLY VIEIRA PINTO,REBECA ALBUQUERQUE PINTO,2,1994-12-07,411100
259,RAFAELA MACEDO APARECIDA,ISABELLA FONSECA APARECIDA,2,1975-10-18,311970
260,ISAQUE ABREU GARCIA,HADASSA MARTINS GARCIA,1,1973-10-24,261100
261,JOAO MIGUEL LIMA NOVAIS,AMANDA GONCALVES NOVAIS,1,2017-10-02,410080
262,SOPHIE SIQUEIRA SIQUEIRA,ESTHER CASA GRANDE SIQUEIRA,2,1984-06-28,320040
263,ANTHONY MENDES VASCONCELOS,LUNNA SALES VASCONCELOS,1,1981-01-26,260790
264,RAEL DA COSTA CAMARA ARAGAO,MARIA FLOR DIAS ARAGAO,1,2008-12-30,432250
265,ANNA LIZ CAMARA CASSIANO,ALANA MORAES CASSIANO,2,1999-06-11,431990
266,MILENA DA LUZ MACEDO VASCONCELOS,MANUELLA VIANA VASCONCELOS,2,1980-07-01,330170
267,FERNANDO MACHADO CALDEIRA,HADASSA CASSIANO CALDEIRA,1,2017-07-23,261290
268,DANIEL RODRIGUES MENDONCA,FERNANDA CAVALCANTE MENDONCA,1,1980-01-01,520420
269,MARIA ISIS CASTRO CARVALHO,JULIA CASA GRANDE CARVALHO,2,1972-03-31,432023
270,YURI MARTINS MARQUES,MARIA SOPHIA PINTO MARQUES,1,2000-06-04,314390
271,MARIA VITORIA DA CONCEICAO MOURA COSTELA,LARA BARBOSA COSTELA,2,1992-03-11,320425
272,OLIVIA LEAO RIOS,ALICE LOPES RIOS,2,1976-11-22,411160
273,JOSE CAMPOS DA CRUZ,EMANUELLA SIQUEIRA DA CRUZ,1,2015-09-26,231220
274,MAITE MENDONCA PEREIRA,SOFIA ARAGAO PEREIRA,2,1976-11-07,411530
