id,nome,mae,sexo,cod_munic_res,dt_nasc
168,Lunna Costela Caldeira,Gabrielly Almeida Caldeira,F,291230115,2006-10-16
169,Benício Albuquerque Nascimento,Ana Beatriz Almeida Nascimento,M,240340005,1979-06-07
170,Kaique Novaes Sá,Ana Sophia Rocha Sá,M,220095405,1987-01-13
171,Zoe Nascimento Leão,Larissa Dias Leão,F,430064605,1973-10-23
172,Thomas Fogaça Sousa,Ísis Campos Sousa,M,230240408,2015-06-11
173,Maria Cecília Montenegro Castro,Manuela Nogueira Castro,F,315030705,1999-01-19
174,Maria Júlia da Cruz DA MATA Sousa,Giovanna da Rocha CASSIANO Sousa,F,230240425,2022-08-13
175,Luna Monteiro Rios,Aurora Lima Rios,F,520860805,1987-01-26
176,Fernando Novais Aragão,Maria Luísa Souza Aragão,M,240600710,2016-08-10
177,Ana Beatriz Fonseca Fogaça,Ísis Fonseca Fogaça,F,431350828,2010-03-13
178,Lorena Oliveira Pires,Manuela Moraes Pires,F,251610205,2017-03-02
179,Olívia Gomes Araújo,Valentina Melo Araújo,F,430435830,2009-10-17
180,Ágatha Câmara Fernandes,Helena Silva Fernandes,F,221039105,1995-11-01
181,Melina Gonçalves Guerra,Liz Costa Guerra,F,431800225,2018-06-22
182,Ana Beatriz Almeida da Cruz,Eloah das Neves CARDOSO da Cruz,F,432200410,1985-05-02
183,Brenda Cassiano da Cunha,Manuella da Mata CASTRO da Cunha,F,411965705,1995-05-03
184,Levi Carvalho Montenegro,Ana Laura Cirino Montenegro,M,310060925,2010-11-11
185,Davi Lucas Machado Abreu,Lunna Pinto Abreu,M,250320905,1974-03-31
186,João Rios Santos,Camila Jesus Santos,M,430130505,1988-09-09
187,Maria Luísa Sá Andrade,Stephany Lopes Andrade,F,240895305,1975-12-05
188,Ana Sophia Ribeiro Cirino,Raquel Rezende Cirino,F,431265805,2017-06-28
189,Arthur Gabriel Câmara Jesus,Zoe da Rocha VIANA Jesus,M,351020305,1974-09-28
190,Diego Campos Rezende,Emanuelly Cavalcanti Rezende,M,230580308,1971-05-08
191,Maria Sophia Dias Moraes,Valentina Campos Moraes,F,430100830,1998-10-10
192,Sara Fonseca Araújo,Rafaela Porto Araújo,F,230220622,1977-06-01
193,Vitor Gabriel Farias Campos,Alana Pires Campos,M,431750925,2017-04-23
194,João Guilherme Alves Gomes,Manuella Sousa Gomes,M,291710205,2002-12-31
195,Lorena Andrade Aragão,Clarice Cardoso Aragão,F,250435505,1998-06-14
196,Eloah da Cruz TEIXEIRA Teixeira,Gabrielly Jesus Teixeira,F,260870120,1984-04-23
197,Milena Martins Câmara,Isabela Mendes Câmara,F,290740005,1985-06-15
198,Bruna Rezende Fonseca,Ana Liz Cavalcante Fonseca,F,311300815,1970-11-05
199,Mariane Rezende Leão,Ana Clara Silva Leão,F,311750410,1994-07-11
200,Thomas Aparecida Pinto,Lívia Freitas Pinto,M,330540610,2023-09-26
201,Gael Dias Silva,Luna Jesus Silva,M,231050607,1983-08-02
202,Daniel Rodrigues Sampaio,Maria Vitória Costela Sampaio,M,350775305,1989-09-02
203,Olivia Novaes Pimenta,Hadassa Fonseca Pimenta,F,150770605,2015-03-31
204,Diego Pastor Gomes,Manuela da Mata CAMPOS Gomes,M,310300905,1974-04-25
205,Ísis Câmara da Cunha,Bárbara Azevedo da Cunha,F,521370715,1979-01-29
206,Nina Aparecida Carvalho,Laura Aragão Carvalho,F,231390610,1981-11-07
207,Daniela Aparecida Porto,Lívia Vargas Porto,F,220770205,2004-07-28
208,Thiago Moraes Camargo,Olivia Freitas Camargo,M,431213810,2017-03-18
209,Murilo Gomes Câmara,Luísa Dias Câmara,M,432225105,2008-07-23
210,Enrico Casa Grande Pastor,Letícia Mendonça Pastor,M,353830305,2019-08-20
211,Melissa Ribeiro Pimenta,Maria Eduarda Guerra Pimenta,F,292575805,1987-05-06
212,Cecilia Nogueira da Paz,Lavínia Silva da Paz,F,521990205,2008-11-19
213,Lucca da Luz PASTOR Santos,Aylla Moraes Santos,M,352490705,2008-12-10
214,Sabrina Nascimento Sá,Eloah Freitas Sá,F,130190210,1994-10-09
215,Guilherme Cassiano Sousa,Ana Sophia Silveira Sousa,M,320120915,1990-10-27
216,Vitória Novaes Cavalcante,Luana Andrade Cavalcante,F,352540905,2018-08-20
217,Lívia da Cruz PASTOR Monteiro,Juliana Melo Monteiro,F,420360010,1986-04-02
218,Ana Vargas Camargo,Maya Oliveira Camargo,F,431020705,2013-10-25
219,Letícia Fonseca Costela,Bárbara Caldeira Costela,F,311420405,2003-08-09
220,Fernanda Câmara Siqueira,Juliana Azevedo Siqueira,F,410754605,1983-02-04
221,Ravi Lucca Abreu Dias,Sofia Machado Dias,M,431370617,1991-06-23
222,Hadassa Gonçalves Campos,Melissa Campos Campos,F,500260505,1991-10-21
223,Benjamim Azevedo Dias,Stella Oliveira Dias,M,315200610,1993-12-20
224,Eduarda Cirino da Cunha,Helena Mendes da Cunha,F,261120010,2002-06-13
225,Isaque Casa Grande Monteiro,Kamilly Montenegro Monteiro,M,411950905,2018-02-12
226,Sarah Montenegro Leão,Aylla Sampaio Leão,F,330190019,2017-06-02
227,Caroline Costela Aragão,Olivia Jesus Aragão,F,290100705,1979-01-29
228,Paulo Gomes da Mota,Sophie Caldeira da Mota,M,430655110,2022-03-09
229,Maria Luiza Campos Pimenta,Ana Clara da Paz LEÃO Pimenta,F,290540410,2003-05-06
230,Luna da Paz SANTOS Novais,Carolina Moreira Novais,F,110120305,2014-08-23
231,Natália Pastor Azevedo,Maya Correia Azevedo,F,431880405,2018-01-05
232,Juliana da Cunha CARVALHO Andrade,Isabella Monteiro Andrade,F,500627510,2022-10-02
233,Maria Clara da Rosa MACEDO Brito,Ana da Costa DA LUZ Brito,F,240980305,1997-03-06
234,Davi Cassiano das Neves,Ana Júlia Cunha das Neves,M,410750410,2003-04-06
235,Maria Isis Silva das Neves,Pietra Barros das Neves,F,251690405,1977-07-26
236,Gabriela Moura Rezende,Emanuelly Cassiano Rezende,F,411095325,2001-02-25
237,Stephany Santos Macedo,Lara das Neves FREITAS Macedo,F,292310005,1988-05-20
238,Benicio da Rosa COSTELA Costa,Sophia Santos Costa,M,420500109,1994-07-03
239,Lucas Pires Rocha,Natália Montenegro Rocha,M,290050405,2002-06-22
240,Fernando Vieira Aparecida,Ester Rodrigues Aparecida,M,314940805,1982-03-31
241,Allana Pacheco Rodrigues,Brenda Lima Rodrigues,F,320030030,1979-09-22
242,Rhavi da Costa RAMOS Freitas,Eduarda Borges Freitas,M,351280305,2017-05-29
243,Sarah Duarte Marques,Natália Teixeira Marques,F,352050905,2012-12-20
244,Léo Freitas Gomes,Liz da Rosa LEÃO Gomes,M,315920905,1987-12-20
245,Diogo da Luz PACHECO Costa,Heloísa Vieira Costa,M,292640010,1998-02-18
246,Cecilia Cassiano Pires,Alexia Viana Pires,F,500797605,2006-02-17
247,Caleb Porto Leão,Beatriz da Conceição BORGES Leão,M,221062305,1977-03-04
248,Marina Cardoso Cavalcante,Mariana Gomes Cavalcante,F,330260110,2002-02-09
249,Rodrigo Mendes Gomes,Mariane Silveira Gomes,M,353050815,2024-01-19
250,Lavínia Fogaça Castro,Emanuelly Barros Castro,F,314055505,2011-08-05
251,Valentim da Conceição PEREIRA Silva,Bruna Costela Silva,M,316110612,2010-03-18
252,Juliana Dias Lima,Maysa Moraes Lima,F,231210620,2005-09-13
253,Lucca Sampaio Pacheco,Rebeca Casa Grande Pacheco,M,250110405,1985-04-27
254,Théo da Luz CUNHA Dias,Ana Carolina Caldeira Dias,M,231123105,1972-01-01
255,Sofia Camargo Siqueira,Maria Júlia Duarte Siqueira,F,431890305,2015-03-16
256,João Pinto da Cunha,Ágatha Monteiro da Cunha,M,250400920,2020-03-16
257,Léo Rios Andrade,Ayla Freitas Andrade,M,311650610,2003-07-11
258,Isabelly Vieira Pinto,Rebeca Albuquerque Pinto,F,411100105,1994-12-07
259,Rafaela Macedo Aparecida,Isabella Fonseca Aparecida,F,311970805,1975-10-18
260,Isaque Abreu Garcia,Hadassa Martins Garcia,M,261100205,1973-10-24
261,João Miguel Lima Novais,Amanda Gonçalves Novais,M,410080605,2017-10-02
262,Sophie Siqueira Siqueira,Esther Casa Grande Siqueira,F,320040905,1984-06-28
263,Anthony Mendes Vasconcelos,Lunna Sales Vasconcelos,M,260790110,1981-01-26
264,Rael da Costa CÂMARA Aragão,Maria Flor Dias Aragão,M,432250940,2008-12-30
265,Anna Liz Câmara Cassiano,Alana Moraes Cassiano,F,431990105,1999-06-11
266,Milena da Luz MACEDO Vasconcelos,Manuella Viana Vasconcelos,F,330170210,1980-07-01
267,Fernando Machado Caldeira,Hadassa Cassiano Caldeira,M,261290105,2017-07-23
268,Daniel Rodrigues Mendonça,Fernanda Cavalcante Mendonça,M,520420105,1980-01-01
269,Maria Isis Castro Carvalho,Julia Casa Grande Carvalho,F,432023020,1972-03-31
270,Yuri Martins Marques,Maria Sophia Pinto Marques,M,314390605,2000-06-04
271,Maria Vitória da Conceição MOURA Costela,Lara Barbosa Costela,F,320425215,1992-03-11
272,Olívia Leão Rios,Alice Lopes Rios,F,411160505,1976-11-22
273,José Campos da Cruz,Emanuella Siqueira da Cruz,M,231220510,2015-09-26
274,Maitê Mendonça Pereira,Sofia Aragão Pereira,F,411530905,1976-11-07
275,Ana Lívia Novais Sá,Maria Viana Sá,F,250840605,2001-03-12
276,Olívia Aragão Barros,Bárbara da Paz SALES Barros,F,500430405,2006-04-21
277,Daniel Andrade Vargas,Bella da Rosa PIRES Vargas,M,353040905,1984-10-11
278,Davi Lucca Silveira Ramos,Agatha Barros Ramos,M,354370905,2005-06-06
279,Kamilly das Neves SOUZA Pastor,Mariana da Rosa SALES Pastor,F,311500305,1983-11-22
280,Diego Melo Lima,Elisa Dias Lima,M,431570127,1996-08-12
281,Juliana Brito Siqueira,Larissa Albuquerque Siqueira,F,320220715,1975-05-07
282,Ana Júlia Ramos da Cruz,Júlia Aragão da Cruz,F,351980805,1989-02-19
283,Maria Julia da Cunha ABREU Cavalcante,Lavínia Pimenta Cavalcante,F,240760905,2005-04-30
284,Ana Carolina Rocha Fonseca,Maria Liz Aparecida Fonseca,F,320370023,1982-04-26
285,Antônio Machado Casa Grande,Alana Duarte Casa Grande,M,310860220,2001-11-11
286,Kevin Fernandes Fernandes,Liz Ferreira Fernandes,M,316780605,2004-02-06
287,Maria Júlia Abreu Vargas,Larissa Abreu Vargas,F,320190230,1979-08-30
288,Francisco Caldeira da Cunha,Juliana Barros da Cunha,M,312930115,2002-03-16
289,Eloah da Mota GOMES Fernandes,Allana Nogueira Fernandes,F,431890335,1991-04-04
290,Cecilia Caldeira Dias,Maria Júlia Aragão Dias,F,230130725,2015-09-19
291,Luiza Nogueira Martins,Ester Leão Martins,F,430692405,2021-01-11
292,Ravy Cardoso Araújo,Maya Castro Araújo,M,354805405,2020-09-25
293,Maria Clara Pimenta da Cruz,Ana Lívia Pastor da Cruz,F,231335105,2014-12-14
294,Eduardo Teixeira Vasconcelos,Maya Fernandes Vasconcelos,M,510792530,2012-11-26
295,Pedro Henrique Vieira da Luz,Maria Luísa Viana da Luz,M,230110907,2022-04-20
296,Stella Silva da Cruz,Júlia da Mota DA ROCHA da Cruz,F,412350110,1985-01-29
297,Maria Luiza Ribeiro Dias,Elisa Almeida Dias,F,315650205,1991-01-31
298,Caleb Lima Novais,Maria Julia Melo Novais,M,316860620,2009-02-13
299,Paulo Pinto da Mota,Alana Sampaio da Mota,M,412060615,2014-08-13
300,Natália Viana Pacheco,Laura da Paz LEÃO Pacheco,F,430655110,1976-04-03
301,Milena Brito Araújo,Maitê Moraes Araújo,F,313400410,1975-08-05
302,Ravi Casa Grande Pinto,Stella Abreu Pinto,M,290630320,1981-04-11
303,Zoe Freitas Santos,Ana Vitória Monteiro Santos,F,431112210,1998-01-29
304,Theodoro Ferreira Novaes,Maysa Moura Novaes,M,171380905,1994-03-22
305,João Pedro Caldeira Aparecida,Melina Nascimento Aparecida,M,352170510,1988-04-12
306,Maria Fernandes Peixoto,Caroline Barbosa Peixoto,F,410180410,1995-07-02
307,Emilly Farias Novais,Luna Jesus Novais,F,310285205,2015-10-07
308,Nina Souza Albuquerque,Gabrielly Aragão Albuquerque,F,316070215,2011-11-09
309,Lunna da Rosa DA MOTA Melo,Júlia Moraes Melo,F,314090205,2014-02-17
310,Manuella Albuquerque da Luz,Gabrielly da Costa DA CRUZ da Luz,F,315830005,1980-08-16
311,Ana Clara Pastor Costela,Bella Moraes Costela,F,430780726,1999-09-25
312,Isaac Mendes Dias,Manuella Macedo Dias,M,250680605,2023-07-02
313,Luana Moraes Viana,Natália Mendonça Viana,F,315190905,2019-02-17
314,Nathan Barbosa Rocha,Ágatha Farias Rocha,M,430222015,2002-01-05
315,Brayan Costa Pereira,Melissa Oliveira Pereira,M,316840810,1971-12-03
316,Anna Liz Gonçalves Macedo,Hellena Garcia Macedo,F,510300720,1978-07-29
317,Isis Castro Jesus,Maysa Lima Jesus,F,220170505,1982-08-01
318,Allana Caldeira Gonçalves,Sarah Fernandes Gonçalves,F,432254120,1998-10-26
